id;id_vendor;filial;date;value;vehicle
98;148;filial_2;16-05-2022 07:09:24;521305;Porsche Ranchero
99;40;filial_1;21-02-2022 08:03:08;757956;Kia Wrangler
100;74;filial_1;16-04-2022 03:13:08;757467;Audi A8
101;432;filial_3;01-03-2022 02:07:31;659358;Land Rover Accord
102;440;filial_1;15-03-2022 01:38:24;258943;Audi Prius
103;396;filial_3;24-03-2022 01:08:38;576833;Fiat Malibu
104;40;filial_1;20-04-2022 02:52:00;51804;Tesla A4
105;491;filial_3;23-02-2022 10:35:14;389582;Jeep Beetle
106;42;filial_1;03-04-2022 07:53:12;437216;Hyandai Colorado
107;125;filial_3;27-04-2022 11:45:08;200431;Kia Land Cruiser
108;154;filial_2;20-04-2022 07:42:20;372751;Cadillac Challenger
109;441;filial_2;01-03-2022 02:58:24;584296;Ford A4
110;333;filial_1;09-02-2022 02:46:09;121266;Chevrolet ATS
111;33;filial_3;20-04-2022 12:01:10;967772;Audi Camaro
112;473;filial_1;09-02-2022 11:29:48;924427;Chevrolet Model T
113;418;filial_2;02-03-2022 05:22:29;577908;Fiat Escalade
114;206;filial_2;23-03-2022 11:20:39;679681;Chevrolet PT Cruiser
115;485;filial_1;12-04-2022 02:59:31;459780;Jeep El Camino
116;382;filial_2;09-03-2022 05:27:29;611095;Cadillac Sentra
117;40;filial_3;22-03-2022 01:12:38;712038;Chevrolet Prius
118;489;filial_2;27-05-2022 08:18:44;208847;Bentley Durango
119;92;filial_1;24-05-2022 11:41:59;611127;Ford Alpine
120;445;filial_2;02-05-2022 01:39:44;356210;Jaguar Model S
121;339;filial_1;26-04-2022 07:15:11;767456;Cadillac Fiesta
122;243;filial_2;29-04-2022 06:52:52;719879;Audi Jetta
123;372;filial_1;05-03-2022 06:41:28;639011;Honda Model T
124;411;filial_2;22-03-2022 08:15:34;827491;Aston Martin Aventador
125;341;filial_3;27-02-2022 12:21:13;280842;Jaguar Prius
126;137;filial_3;08-04-2022 12:37:09;878900;Rolls Royce A4
127;216;filial_2;06-03-2022 02:39:02;319768;Bugatti Colorado
128;388;filial_3;28-02-2022 07:39:40;105631;Audi Corvette
129;209;filial_3;25-05-2022 05:32:22;321417;Rolls Royce Roadster
130;485;filial_1;09-04-2022 10:15:36;342395;Honda Taurus
131;261;filial_2;20-02-2022 01:19:28;498135;Bentley Model S
132;325;filial_1;02-02-2022 12:22:25;242167;Volkswagen Jetta
133;144;filial_2;28-05-2022 08:16:29;410383;Tesla Wrangler
134;47;filial_1;10-03-2022 08:49:24;969744;Maserati Volt
135;441;filial_3;29-03-2022 08:15:30;755583;Porsche Wrangler
136;153;filial_3;10-04-2022 10:46:27;257736;BMW Aventador
137;203;filial_2;06-02-2022 07:23:39;91567;Rolls Royce Taurus
138;57;filial_2;18-05-2022 02:59:27;372112;Chevrolet Wrangler
139;300;filial_1;19-05-2022 02:06:00;998392;Dodge A4
140;4;filial_3;05-03-2022 01:20:04;218558;Dodge 911
141;344;filial_3;20-04-2022 09:06:38;792506;Rolls Royce Fiesta
142;271;filial_3;23-02-2022 01:09:21;803531;Honda Cruze
143;289;filial_3;08-03-2022 11:26:58;397501;Lamborghini Model T
144;96;filial_2;07-03-2022 05:18:24;166269;Dodge Civic
145;61;filial_3;15-04-2022 05:47:23;827177;Bentley Corvette
146;202;filial_2;31-03-2022 12:27:11;103407;Audi 911
147;16;filial_1;11-03-2022 02:47:07;651056;Fiat Prius
148;144;filial_2;16-05-2022 09:06:14;891656;Cadillac PT Cruiser
149;314;filial_3;12-05-2022 01:43:24;867309;Ford Grand Caravan
150;152;filial_2;25-05-2022 10:43:06;880054;Jeep Grand Cherokee
151;98;filial_1;03-03-2022 11:22:43;253658;BMW Durango
152;353;filial_1;25-04-2022 10:43:29;910051;Porsche A8
153;409;filial_1;24-05-2022 07:51:55;812376;Toyota Ranchero
154;401;filial_1;26-05-2022 05:43:30;170561;Chrysler Durango
155;136;filial_2;08-02-2022 08:49:04;942648;Lamborghini Countach
156;249;filial_3;20-02-2022 05:57:59;871168;Fiat Cruze
157;213;filial_2;10-04-2022 08:54:05;458048;Cadillac Mustang
158;23;filial_2;11-05-2022 03:54:55;130055;Volkswagen Civic
159;490;filial_3;10-04-2022 08:31:31;909526;Cadillac Civic
160;269;filial_3;19-02-2022 03:56:30;347829;Mini Impala
161;203;filial_1;02-03-2022 12:56:13;322460;Volkswagen Corvette
162;38;filial_1;23-03-2022 01:08:45;983405;Ford Altima
163;378;filial_1;16-03-2022 11:50:37;765480;Rolls Royce Challenger
164;275;filial_1;16-04-2022 11:13:16;495758;Porsche Aventador
165;191;filial_2;10-03-2022 03:39:41;617956;Aston Martin 911
166;125;filial_2;23-04-2022 01:11:32;689213;Audi Civic
167;71;filial_2;15-05-2022 10:20:52;558826;Lamborghini LeBaron
168;155;filial_2;13-05-2022 09:32:33;66267;Maserati F-150
169;259;filial_2;04-05-2022 10:43:16;248728;Ferrari Camry
170;277;filial_1;23-05-2022 11:51:13;710937;Dodge Grand Caravan
171;409;filial_2;29-05-2022 11:33:04;97312;Honda Roadster
172;262;filial_2;11-02-2022 06:27:46;994424;Ford Beetle
173;195;filial_1;25-05-2022 08:46:48;597696;Audi Malibu
174;144;filial_1;22-04-2022 10:09:30;273401;Kia Grand Cherokee
175;88;filial_3;03-04-2022 04:26:35;281604;BMW Spyder
176;276;filial_1;14-05-2022 06:47:53;420373;Chrysler Beetle
177;434;filial_2;17-04-2022 12:54:28;863965;Hyandai XTS
178;216;filial_2;02-05-2022 08:00:11;832243;Mercedes Benz Explorer
179;157;filial_1;02-02-2022 07:46:44;543443;BMW Grand Caravan
180;30;filial_3;14-03-2022 05:21:22;311896;Mini Mustang
181;186;filial_2;11-02-2022 03:16:03;656267;Bugatti Camry
182;43;filial_1;25-02-2022 04:45:56;130874;Chrysler F-150
183;16;filial_3;05-05-2022 09:38:38;421901;Toyota Durango
184;345;filial_3;21-04-2022 06:41:47;180826;Chrysler Ranchero
185;263;filial_1;25-04-2022 10:11:18;814774;Maserati PT Cruiser
186;322;filial_2;27-02-2022 12:05:29;95190;Ferrari Countach
187;209;filial_2;27-04-2022 11:53:09;319793;Toyota Altima
188;387;filial_3;28-05-2022 01:22:33;64825;Hyandai ATS
189;294;filial_2;02-03-2022 11:43:16;391659;Aston Martin LeBaron
190;255;filial_3;15-02-2022 06:13:44;720253;Kia ATS
191;187;filial_2;11-03-2022 10:15:15;960643;Jaguar Colorado
192;287;filial_3;21-04-2022 02:39:50;585830;Aston Martin Fiesta
193;352;filial_1;09-03-2022 09:15:12;365261;Bugatti Roadster
194;110;filial_3;02-05-2022 11:29:19;110122;Fiat Camaro
195;90;filial_1;17-02-2022 11:06:58;908353;Mini Fiesta
196;347;filial_2;11-02-2022 02:48:49;889321;Tesla A4
197;21;filial_1;15-03-2022 09:22:17;640549;Chrysler F-150
198;444;filial_2;17-03-2022 09:56:40;886217;Kia Element
199;418;filial_3;20-03-2022 04:02:13;789672;Dodge Model T
200;226;filial_2;13-04-2022 02:21:50;887759;Volkswagen Focus
201;378;filial_1;08-05-2022 07:02:38;529284;Rolls Royce PT Cruiser
202;93;filial_1;13-05-2022 07:58:34;721065;Ferrari Fiesta
203;343;filial_1;02-02-2022 08:37:03;427524;Chrysler Countach
204;329;filial_2;10-02-2022 02:54:58;491187;Toyota Silverado
205;400;filial_2;23-04-2022 03:22:00;813899;Nissan XTS
206;270;filial_1;06-05-2022 07:09:09;533161;Maserati Challenger
207;205;filial_1;09-05-2022 02:30:13;363064;Ferrari Alpine
208;259;filial_1;20-02-2022 09:00:30;200903;Chevrolet Sentra
209;254;filial_2;24-03-2022 09:23:42;176470;Ford A8
210;474;filial_3;23-03-2022 10:49:55;906762;Bentley Impala
211;429;filial_2;02-02-2022 08:25:41;468587;Maserati Aventador
212;408;filial_2;06-04-2022 04:06:46;210486;Chrysler Model 3
213;439;filial_2;02-03-2022 06:13:04;283463;Lamborghini Camaro
214;211;filial_2;12-03-2022 01:39:31;364999;Honda Corvette
215;367;filial_3;14-04-2022 06:27:37;574147;Mercedes Benz Explorer
216;73;filial_1;29-04-2022 03:51:17;451659;Jeep Model T
217;16;filial_3;10-02-2022 07:43:37;749662;BMW LeBaron
218;8;filial_3;24-05-2022 12:34:14;476852;Land Rover Camaro
219;376;filial_1;17-02-2022 10:50:31;234084;Audi Ranchero
220;44;filial_1;27-02-2022 12:02:55;171170;Rolls Royce Silverado
221;152;filial_3;13-03-2022 07:00:14;806915;Maserati Silverado
222;44;filial_1;07-02-2022 02:06:38;224485;Rolls Royce A8
223;228;filial_1;03-02-2022 07:17:15;453452;Nissan Volt
224;340;filial_3;09-02-2022 08:14:20;313368;Maserati Explorer
225;67;filial_1;25-05-2022 10:04:36;298732;Nissan Corvette
226;417;filial_1;17-02-2022 07:04:47;888932;Volkswagen Malibu
227;76;filial_2;11-05-2022 12:28:53;203178;Cadillac Volt
228;268;filial_2;07-02-2022 07:37:17;862263;Mini LeBaron
229;374;filial_1;19-03-2022 10:56:11;370065;Chevrolet Ranchero
230;93;filial_1;25-02-2022 01:14:12;712885;Audi Camry
231;172;filial_3;05-02-2022 12:00:39;367307;Maserati Element
232;466;filial_2;06-05-2022 02:27:24;121352;Maserati A8
233;217;filial_1;26-02-2022 12:19:41;219194;Rolls Royce Civic
234;388;filial_1;05-02-2022 08:17:59;120827;Nissan Volt
235;335;filial_2;21-05-2022 11:42:22;217872;Ferrari Grand Caravan
236;148;filial_2;14-02-2022 01:30:34;820878;Honda Golf
237;475;filial_3;25-05-2022 12:32:15;845657;Bugatti F-150
238;171;filial_3;17-05-2022 11:55:40;889050;Lamborghini Model T
239;346;filial_3;22-02-2022 03:10:27;413177;Ford Model T
240;184;filial_2;22-03-2022 05:53:53;505840;BMW Roadster
241;363;filial_1;11-05-2022 07:23:39;616376;Fiat Taurus
242;447;filial_3;08-04-2022 02:46:26;136858;Rolls Royce ATS
243;136;filial_1;15-02-2022 08:39:08;79795;Porsche Mercielago
244;470;filial_1;28-04-2022 11:11:00;864307;Mini A8
245;130;filial_2;19-04-2022 02:31:30;353343;BMW Escalade
246;31;filial_3;29-03-2022 01:49:15;664945;Mercedes Benz Model 3
247;415;filial_2;15-04-2022 01:48:25;494233;Toyota Expedition
248;296;filial_2;14-05-2022 04:10:16;389014;Ford Cruze
249;89;filial_1;15-05-2022 08:45:19;247311;Porsche Challenger
250;99;filial_3;02-02-2022 09:35:46;844859;Fiat Focus
251;235;filial_1;04-05-2022 05:29:38;283414;Jaguar CTS
252;97;filial_2;23-05-2022 12:55:01;334069;Porsche Colorado
253;329;filial_3;14-03-2022 07:22:28;527875;Lamborghini Expedition
254;483;filial_3;05-03-2022 10:26:48;952717;Volkswagen Mustang
255;9;filial_2;09-03-2022 06:19:11;112410;Cadillac Escalade
256;333;filial_2;09-03-2022 07:29:34;518095;Bentley Aventador
257;393;filial_3;15-04-2022 06:24:40;167774;Jaguar Sentra
258;115;filial_3;15-04-2022 12:53:57;672057;Dodge Camry
259;478;filial_3;16-04-2022 11:42:30;574353;Ferrari Jetta
260;18;filial_2;16-04-2022 02:10:42;50548;Jeep Impala
261;468;filial_1;30-04-2022 03:33:07;338212;Ferrari Altima
262;68;filial_3;23-02-2022 04:52:19;697863;Cadillac CTS
263;371;filial_1;24-02-2022 03:45:55;529564;Porsche F-150
264;292;filial_2;17-04-2022 10:32:17;339844;Ford Silverado
265;406;filial_2;20-05-2022 05:52:00;713724;Volkswagen Model 3
266;46;filial_2;24-03-2022 11:11:41;875409;Fiat Malibu
267;436;filial_2;24-02-2022 02:42:19;225463;Jaguar Land Cruiser
268;44;filial_1;16-02-2022 08:12:00;497417;Nissan Taurus
269;75;filial_1;27-02-2022 09:18:01;626052;Volkswagen Impala
270;7;filial_1;11-03-2022 08:27:36;554874;Chevrolet Spyder
271;180;filial_3;04-04-2022 01:11:54;186508;Toyota Escalade
272;95;filial_2;04-05-2022 03:31:11;645686;Bentley Colorado
273;8;filial_1;14-05-2022 04:17:52;358442;Porsche A8
274;303;filial_2;19-02-2022 05:46:59;302505;Jaguar Alpine
275;317;filial_1;26-04-2022 05:17:31;97017;Volkswagen Silverado
276;318;filial_3;14-04-2022 08:33:20;912225;Honda Wrangler
277;78;filial_2;01-03-2022 09:32:26;370899;Nissan Charger
278;450;filial_2;21-05-2022 11:40:31;223362;Chevrolet Grand Cherokee
279;291;filial_1;17-02-2022 06:11:08;83101;Honda Jetta
280;166;filial_2;14-04-2022 05:49:03;479113;BMW A4
281;69;filial_3;07-04-2022 05:54:21;418313;Mercedes Benz Ranchero
282;105;filial_3;07-05-2022 10:30:59;497439;Rolls Royce Golf
283;95;filial_2;07-03-2022 07:27:43;273401;Tesla Malibu
284;221;filial_2;03-03-2022 02:13:52;399008;Nissan Focus
285;273;filial_3;30-04-2022 02:50:13;589601;Tesla Countach
286;302;filial_2;02-02-2022 02:32:31;472333;Maserati CTS
287;105;filial_2;02-05-2022 06:08:15;236920;Tesla Civic
288;400;filial_2;15-03-2022 11:30:02;497269;Fiat El Camino
289;87;filial_2;05-04-2022 08:19:59;502538;Fiat Corvette
290;441;filial_3;26-04-2022 12:21:48;223692;Aston Martin Roadster
291;394;filial_1;05-03-2022 09:45:43;281008;Jaguar Golf
292;300;filial_1;02-02-2022 11:38:28;813496;Fiat Beetle
293;262;filial_2;03-05-2022 11:20:58;576219;Aston Martin Wrangler
294;212;filial_1;23-04-2022 05:16:59;191232;Bentley Charger
295;83;filial_1;11-03-2022 08:56:32;196682;Tesla 911
296;440;filial_1;11-05-2022 03:09:27;920517;Lamborghini Ranchero
297;5;filial_2;29-04-2022 10:11:28;846398;Hyandai Charger
298;221;filial_2;14-05-2022 04:24:10;150135;Dodge XTS
299;206;filial_1;27-05-2022 02:58:05;402483;Chrysler Focus
300;328;filial_1;08-03-2022 12:27:24;955861;Kia Mercielago
301;349;filial_3;24-03-2022 09:15:24;73782;Cadillac Land Cruiser
302;398;filial_2;19-05-2022 08:40:27;483003;Porsche Corvette
303;93;filial_1;21-05-2022 11:36:11;394725;Tesla Model T
304;166;filial_3;11-05-2022 08:59:27;362189;Chevrolet Fiesta
305;360;filial_3;11-05-2022 04:06:51;537166;Jeep Model S
306;461;filial_2;24-04-2022 01:29:31;947030;Audi F-150
307;323;filial_2;30-04-2022 12:36:37;550772;Kia Aventador
308;145;filial_2;19-05-2022 10:59:41;215481;Fiat Accord
309;447;filial_3;11-04-2022 11:04:12;756836;Maserati Focus
310;365;filial_2;17-03-2022 03:59:52;204886;Audi Roadster
311;97;filial_1;02-04-2022 12:05:56;206831;Jaguar Spyder
312;486;filial_1;16-04-2022 12:07:47;688512;Bentley A8
313;115;filial_1;10-02-2022 05:22:52;979088;Porsche Cruze
314;276;filial_3;03-05-2022 09:42:59;183538;Rolls Royce Element
315;371;filial_1;03-02-2022 06:37:09;503820;Kia Golf
316;443;filial_1;27-02-2022 08:56:03;510722;Toyota Charger
317;410;filial_1;02-05-2022 04:30:26;829383;Jaguar El Camino
318;202;filial_1;11-04-2022 08:35:47;433367;Porsche Ranchero
319;123;filial_3;01-02-2022 08:05:05;728722;Toyota Wrangler
320;333;filial_2;26-05-2022 01:19:22;277616;Land Rover Challenger
321;407;filial_1;20-05-2022 11:47:12;958340;Jaguar Model T
322;147;filial_3;02-02-2022 04:15:59;246161;Ferrari Altima
323;459;filial_1;12-04-2022 07:46:12;883720;Jaguar Camry
324;221;filial_2;07-05-2022 03:28:46;882980;Porsche Focus
325;479;filial_1;09-02-2022 12:11:16;194101;Fiat Corvette
326;179;filial_2;20-03-2022 08:52:54;835708;Audi Explorer
327;21;filial_1;23-05-2022 08:59:47;381923;Hyandai Cruze
328;212;filial_3;05-04-2022 12:32:51;541011;Aston Martin Grand Caravan
329;281;filial_1;19-04-2022 10:37:52;189802;Ford Explorer
330;90;filial_1;18-04-2022 10:08:38;342032;Kia Focus
331;222;filial_1;21-05-2022 08:49:12;120202;Tesla Ranchero
332;417;filial_1;26-02-2022 12:55:29;479741;Hyandai Camry
333;397;filial_3;17-03-2022 04:19:39;592661;Land Rover Camaro
334;78;filial_3;15-04-2022 06:08:31;724480;Dodge Countach
335;496;filial_3;05-03-2022 09:49:53;618207;Dodge Malibu
336;472;filial_2;04-05-2022 09:04:39;73876;Kia Model S
337;42;filial_1;21-02-2022 10:59:33;232191;Nissan Roadster
338;320;filial_1;05-03-2022 06:13:47;327106;Kia El Camino
339;443;filial_2;27-05-2022 11:30:41;917635;Ford Alpine
340;389;filial_3;23-05-2022 11:30:07;71032;Mercedes Benz Roadster
341;212;filial_2;14-03-2022 10:37:29;588092;BMW Land Cruiser
342;216;filial_2;12-04-2022 06:55:32;62596;Fiat F-150
343;478;filial_2;14-05-2022 07:25:24;304494;Land Rover Grand Caravan
344;303;filial_1;23-05-2022 08:49:19;549263;Land Rover Golf
345;277;filial_3;08-04-2022 02:10:40;384914;Honda Grand Caravan
346;264;filial_2;14-02-2022 09:52:27;314772;Ford Aventador
347;339;filial_1;01-02-2022 02:47:27;478020;Toyota Ranchero
348;343;filial_1;03-02-2022 03:09:46;563002;Volkswagen El Camino
349;251;filial_3;15-02-2022 07:35:38;408147;Tesla Roadster
350;444;filial_1;07-02-2022 06:57:37;883051;Lamborghini Ranchero
351;439;filial_2;06-02-2022 05:14:07;710589;Land Rover Camry
352;94;filial_3;23-03-2022 04:03:35;483616;Hyandai Model T
353;194;filial_3;30-05-2022 11:40:59;435008;Land Rover Mercielago
354;461;filial_3;20-05-2022 02:19:00;857099;Audi Camry
355;34;filial_2;01-03-2022 12:33:40;194255;Mercedes Benz Altima
356;246;filial_1;08-02-2022 08:59:42;583124;Dodge Charger
357;337;filial_1;16-03-2022 05:29:37;498737;Ferrari Spyder
358;183;filial_1;27-04-2022 02:38:41;572087;Kia Camaro
359;165;filial_2;23-03-2022 02:35:42;91660;Hyandai Land Cruiser
360;99;filial_2;19-05-2022 09:53:06;877975;Jeep PT Cruiser
361;270;filial_3;22-05-2022 02:36:30;928417;Jaguar Explorer
362;70;filial_2;27-02-2022 06:46:16;352278;BMW Land Cruiser
363;398;filial_2;15-05-2022 02:30:18;603267;Jeep Accord
364;261;filial_1;15-04-2022 06:49:54;247669;Nissan Explorer
365;95;filial_1;06-05-2022 03:39:51;614261;Chevrolet Camaro
366;164;filial_1;27-02-2022 03:08:56;294289;Bugatti Mustang
367;317;filial_2;15-05-2022 02:18:11;650643;Cadillac Expedition
368;82;filial_1;27-02-2022 04:23:54;924335;Chrysler XTS
369;185;filial_1;26-02-2022 05:27:00;254009;Porsche Wrangler
370;66;filial_3;20-04-2022 05:38:02;898882;Jaguar CTS
371;46;filial_1;13-05-2022 05:04:54;567250;BMW A8
372;17;filial_2;27-05-2022 05:47:16;889955;Kia Roadster
373;35;filial_1;02-05-2022 12:48:12;316221;Land Rover XTS
374;190;filial_1;09-02-2022 04:39:44;727416;Fiat Escalade
375;35;filial_3;07-02-2022 08:10:13;227824;Mini El Camino
376;138;filial_2;17-03-2022 06:02:30;594162;Land Rover Roadster
377;160;filial_3;20-03-2022 06:16:38;318945;Cadillac Golf
378;472;filial_1;22-04-2022 02:50:17;449930;Chevrolet Aventador
379;224;filial_1;05-04-2022 12:18:17;464194;Audi ATS
380;53;filial_1;08-03-2022 06:18:18;770038;Fiat Beetle
381;253;filial_2;16-05-2022 06:43:17;573695;Honda F-150
382;146;filial_1;09-02-2022 03:47:50;878925;Lamborghini A4
383;26;filial_1;09-04-2022 08:16:51;848243;Cadillac Golf
384;116;filial_2;21-02-2022 12:49:28;136639;Mercedes Benz Golf
385;414;filial_2;14-03-2022 07:32:23;993165;Chrysler Camaro
386;437;filial_1;07-05-2022 07:30:11;470098;Chevrolet Land Cruiser
387;402;filial_2;22-04-2022 01:16:02;305012;Cadillac Model T
388;116;filial_2;14-03-2022 03:44:48;491746;Ford ATS
389;37;filial_3;29-05-2022 03:28:26;759826;Land Rover Fiesta
390;189;filial_2;24-03-2022 03:51:06;675418;BMW XTS
391;75;filial_1;18-04-2022 06:14:47;906390;Nissan F-150
392;235;filial_1;15-05-2022 01:10:32;513376;Mercedes Benz Taurus
393;133;filial_2;24-05-2022 07:32:07;258548;Jaguar Impala
394;291;filial_1;12-04-2022 06:18:09;162830;Land Rover Camry
395;351;filial_1;15-04-2022 05:08:22;868993;Audi ATS
396;199;filial_1;08-02-2022 09:44:32;345891;Ferrari A8
397;254;filial_3;04-04-2022 11:27:34;502331;Aston Martin ATS
398;233;filial_1;30-04-2022 02:53:00;303824;Dodge Grand Caravan
399;11;filial_1;17-05-2022 02:52:32;950982;Porsche A8
400;414;filial_3;07-03-2022 06:09:11;913141;Bugatti El Camino
401;418;filial_3;01-02-2022 02:04:04;809360;Tesla F-150
402;376;filial_3;24-03-2022 05:59:44;390823;Chevrolet Fiesta
403;203;filial_2;05-04-2022 10:23:27;922972;Jeep Model S
404;243;filial_2;01-04-2022 06:09:19;542365;Maserati Expedition
405;476;filial_3;12-02-2022 08:50:46;543043;Toyota Ranchero
